Dataset,Assembler,Score,Mean Sequencing Depth
ERR194146,Org.Asm,99.85693,20.0574
ERR194147,Org.Asm,99.99404,20.0779
ERR194158,Org.Asm,99.24525,20.0739
ERR194159,Org.Asm,99.98793,20.064
ERR194160,Org.Asm,99.98793,20.0849
ERR194161,Org.Asm,99.99095,20.0718
ERR194146,ARC,28.67263,10.0714
ERR194147,ARC,37.55832,10.0756
ERR194158,ARC,40.8834,10.0832
ERR194159,ARC,29.03289,10.0689
ERR194160,ARC,27.8827,10.0963
ERR194161,ARC,28.08422,10.1603
ERR194146,Getorganelle,99.98491,10.0714
ERR194147,Getorganelle,99.99396,10.0756
ERR194158,Getorganelle,99.99396,10.0832
ERR194159,Getorganelle,99.98491,10.0689
ERR194160,Getorganelle,99.98491,10.0963
ERR194161,Getorganelle,99.99396,10.1603
ERR194146,IOGA,99.89759,10.0714
ERR194147,IOGA,99.994,10.0756
ERR194158,IOGA,99.994,10.0832
ERR194159,IOGA,99.988,10.0689
ERR194160,IOGA,99.958,10.0963
ERR194161,IOGA,99.964,10.1603
ERR194146,MEANGS,99.96187,10.0714
ERR194147,MEANGS,99.99396,10.0756
ERR194158,MEANGS,99.73703,10.0832
ERR194159,MEANGS,99.97032,10.0689
ERR194160,MEANGS,78.51728,10.0963
ERR194161,MEANGS,99.99396,10.1603
ERR194146,Mitobim,0,10.0714
ERR194147,Mitobim,0,10.0756
ERR194158,Mitobim,0,10.0832
ERR194159,Mitobim,0,10.0689
ERR194160,Mitobim,0,10.0963
ERR194161,Mitobim,0,10.1603
ERR194146,MitoFlex,99.98793,10.0714
ERR194147,MitoFlex,99.99396,10.0756
ERR194158,MitoFlex,99.99396,10.0832
ERR194159,MitoFlex,99.98491,10.0689
ERR194160,MitoFlex,99.98793,10.0963
ERR194161,MitoFlex,99.99396,10.1603
ERR194146,MitoZ,97.89596,10.0714
ERR194147,MitoZ,99.99396,10.0756
ERR194158,MitoZ,99.96982,10.0832
ERR194159,MitoZ,97.89596,10.0689
ERR194160,MitoZ,99.96379,10.0963
ERR194161,MitoZ,99.99396,10.1603
ERR194146,MToolBox,99.99698,10.0714
ERR194147,MToolBox,99.99698,10.0756
ERR194158,MToolBox,99.99698,10.0832
ERR194159,MToolBox,99.99698,10.0689
ERR194160,MToolBox,99.99698,10.0963
ERR194161,MToolBox,99.99698,10.1603
ERR194146,Novoplasty,99.99095,10.0714
ERR194147,Novoplasty,99.99396,10.0756
ERR194158,Novoplasty,99.99396,10.0832
ERR194159,Novoplasty,99.98793,10.0689
ERR194160,Novoplasty,99.98793,10.0963
ERR194161,Novoplasty,99.99396,10.1603
ERR194146,Org.Asm,99.98808,10.0714
ERR194147,Org.Asm,99.99404,10.0756
ERR194158,Org.Asm,99.99396,10.0832
ERR194159,Org.Asm,99.98793,10.0689
ERR194160,Org.Asm,99.98793,10.0963
ERR194161,Org.Asm,99.99095,10.1603
